codigo;nombre;cantidad;coste_total;coste_unitario;revisar
16-760H5000S4;Blum Guias MOVENTO S LN.500 Extraccion Total 40Kg;;;16.98;
16-766H7500S;Blum Guias MOVENTO S LN.750 Extraccion Total 70Kg;;;28.44;
17-173H7100NQ;Blum Base Bisagra Cruz Excentrica Alt.0mm Atornillar Niquel;;;0.3;
17-173H7130NQ;Blum Base Bisagra Cruz Excentrica Alt.3mm Atornillar Niquel;;;0.34;
17-174H7100EN;Blum Base Bisagra Cruz Excentrica Taco 5mm Exp Niquel;;;0.36;
17-174H7100EO;Blum Base Bisagra Cruz Excentrica Taco 5mm Exp ONDX;;;0.42;
17-70T3580TLN;Blum Bisagra Recta 110 Sin Muelle Taco 8mm Niquel;;;0.97;
17-71B358ENIQ;Blum Bisagra Recta 110 Blumotion Taco Expando 8mm Niquel;;;1.74;
17-71B358EONX;Blum Bisagra Recta 110 Blumotion Taco Expando 8mm ONDX;;;1.97;
17-71B7550NIQ;Blum Bisagra Recta 155 Ang.0 Blumotion Atornillar Niquel;;;2.92;
17-71B758ENIQ;Blum Bisagra Recta 155 Ang.0 Blumotion Taco 8 EXPANDO Niquel;;;3.56;
17-79B3451NIQ;Blum Bisagra Angular -30 Blumotion Recubri.Total Atorn.N;;;2.65;
17-79B3453NIQ;Blum Bisagra Angular -15 Blumotion Recubri.Total Atorn.N;;;2.65;
17-79B9550NIQ;Blum Bisagra 95 Rinc.Ciego Blumotion Recubri.Inter.Atorn.Niquel;;;2.49;
17-79B9580NIQ;Blum Bisagra 95 Rinc.Ciego Blumotion Recubri.Inter.T.8mm Ni;;;2.54;
17-9551008NIQ;Blum Placa Metalica Adhesiva Para TIP ON;;;0.18;
17-956A1002NG;Blum TIP ON Largo Negro;;;2.21;
17-956A1006FG;Blum TIP ON Muelle Fuerte Largo Gris Con Amortiguador;;;2.59;
17-956A1006FN;Blum TIP ON Muelle Fuerte Largo Negro Con Amortiguador;;;2.49;
17-956A1201NG;Blum Soporte Recto TIP ON Largo Negro;;;0.55;
25-378M350SLO;Blum Perfil Altura M.L Cajon ANTARO Gris LN.350;;;4.33;
25-378M350SRO;Blum Perfil Altura M.R Cajon ANTARO Gris LN.350;;;4.33;
25-378M400SLO;Blum Perfil Altura M.L Cajon ANTARO Gris LN.400;;;4.38;
